rank,batch_size,learning_rate,regression_weight,huber_delta,T_0,T_mult,eta_min,composite_r2,val_loss,r2_theta,r2_a,r2_b,epochs,time_seconds
53,64,0.00075,3.0,6.0,3,2,1e-07,0.990008923425911,0.16648868413766224,0.9678770833981735,0.9965529646796465,0.9956056456258239,50,326.4787423610687
54,64,0.0005,3.0,8.0,3,2,1e-07,0.9899911298850221,0.17898731394608816,0.9679461192871248,0.9964705236035526,0.9955478766494109,50,326.22902965545654
55,128,0.0005,3.0,8.0,3,2,1e-07,0.9899896638710619,0.1648637034893036,0.9673690016508995,0.9966556185968611,0.9959340352364873,50,193.21385097503662
56,64,0.0005,3.0,8.0,3,3,1e-08,0.9899749996451418,0.17888521937529245,0.9687461344159967,0.9960321106692647,0.995121753495306,46,299.1567904949188
57,64,0.0005,2.0,8.0,3,2,1e-07,0.98996844129261,0.11291053219636281,0.968339555749425,0.9959632441822098,0.9955709652388053,50,326.3496325016022
58,64,0.0005,2.0,6.0,3,2,1e-08,0.9899606133475469,0.11040599354108174,0.9680280878697619,0.9963306261678391,0.995483739352587,50,326.1654748916626
59,64,0.0005,2.0,6.0,3,2,1e-07,0.9899464473253268,0.1085646205941836,0.9681190686182444,0.9961849743755552,0.9954817463075079,50,326.5888376235962
60,64,0.0005,2.0,8.0,3,2,1e-08,0.98993149634221,0.1121335612932841,0.9678811041894665,0.9962131149003673,0.9956317662790061,50,325.54031562805176
61,128,0.0005,2.0,8.0,3,2,1e-07,0.9899069752533338,0.1099418997168541,0.9680005668325157,0.995866972818126,0.9957603613626937,50,193.3194420337677
62,64,0.00075,3.0,6.0,3,2,1e-08,0.9898973193236724,0.1724002713362376,0.9676061343334209,0.9963704456275886,0.9956126973336801,50,326.09191155433655
63,64,0.0005,3.0,6.0,3,2,1e-08,0.9898555670008682,0.16864931897322336,0.9680438985029687,0.9962719566206405,0.9951064128798635,50,325.9793140888214
64,64,0.00075,2.0,8.0,3,2,1e-07,0.9898185222533544,0.11225304992993673,0.9674199932110923,0.9963341647738831,0.9955199310284419,50,326.59834575653076
65,64,0.0005,2.0,8.0,3,3,1e-07,0.9898014886339127,0.1169373132387797,0.9678000978289742,0.996073646994334,0.9953322097123425,46,300.1041042804718
66,64,0.00075,2.0,6.0,3,2,1e-08,0.9897857493757123,0.1162609620889028,0.9673560372679271,0.9962591620191373,0.9955277982157844,50,326.40278363227844
67,64,0.0005,2.0,6.0,3,3,1e-08,0.989783570194818,0.11370152109861374,0.9677446790069155,0.9959239489598114,0.9954656528125452,46,299.55663418769836
68,64,0.00075,2.0,6.0,3,3,1e-08,0.9897557796711312,0.12095899784564972,0.9672110139199536,0.9964964773455534,0.9953156274190179,46,299.1377739906311
69,128,0.00075,2.0,8.0,3,2,1e-07,0.9897479157350633,0.11675845690568289,0.9677717436730464,0.9963522474410069,0.9948676718262,50,193.32194471359253
70,128,0.00075,3.0,6.0,3,2,1e-08,0.989722336625277,0.16788274753093718,0.9680763163771924,0.9959928083180423,0.9948202218058733,50,193.31794142723083
71,64,0.0005,2.0,6.0,3,3,1e-07,0.9896783312058212,0.1169415711959203,0.9676473098165184,0.9956094629968145,0.9954565520099518,45,293.62904620170593
72,128,0.00075,2.0,8.0,3,2,1e-08,0.9896360815054059,0.11293714241186778,0.9667776144753765,0.9963369167819499,0.9954297947642975,50,193.36197900772095
73,64,0.00075,3.0,8.0,3,2,1e-08,0.9896271811983239,0.1747707415819168,0.966455628947748,0.9962693789783411,0.995783716867207,50,326.01784801483154
74,128,0.0005,3.0,6.0,3,2,1e-07,0.9896226599512672,0.17603248429298402,0.9677197529723173,0.9958819146623781,0.9948889721703735,50,193.17731928825378
75,64,0.0005,2.0,8.0,3,3,1e-08,0.98962104831064,0.11183380504449209,0.9675223436672634,0.9958054355364585,0.9951564140388379,45,292.49607372283936
76,128,0.00075,3.0,8.0,2,3,1e-07,0.9896194650593484,0.17292921523253124,0.9666581666408949,0.9961624427462092,0.9956572508502894,50,196.9775812625885
77,64,0.0005,3.0,8.0,3,3,1e-07,0.9896126944673604,0.1794151345094045,0.9672582892095112,0.9958716063626796,0.9953208822972511,45,293.4483902454376
78,64,0.0005,3.0,6.0,3,3,1e-08,0.9896094655177328,0.1821958919763565,0.9677210816969428,0.9955817967723033,0.9951349836016852,46,299.0201737880707
79,64,0.00075,2.0,8.0,3,2,1e-08,0.9895913172003541,0.11705841040611267,0.9664032249196784,0.9965484861290731,0.995413557752665,50,326.10203886032104
80,64,0.00075,3.0,6.0,3,3,1e-07,0.9895808406762706,0.1746227046251297,0.9665922659668702,0.9962283415546804,0.9955027551835317,46,300.0305414199829
81,128,0.00075,3.0,8.0,3,2,1e-07,0.9895254031930617,0.17304499053955077,0.9666830497678228,0.9961480773677294,0.9952704856366945,50,193.2558867931366
82,64,0.00075,2.0,8.0,3,3,1e-07,0.9895003388463988,0.12080375540256501,0.9670045303102158,0.9954573487217218,0.9955394763536571,45,293.66757917404175
83,64,0.00075,2.0,6.0,3,3,1e-07,0.9894061542221486,0.1169351266225179,0.9673964446497562,0.9961775294243674,0.9940506428144709,46,300.21820187568665
84,64,0.00075,2.0,8.0,3,3,1e-08,0.9893919582324368,0.11678416927655538,0.9667391303697591,0.9960780496757515,0.9947506528842361,46,299.4560477733612
85,64,0.00075,2.0,6.0,2,2,1e-07,0.9893680908716939,0.11022897563378016,0.9656085565958747,0.9963867178493729,0.9954770890415275,50,319.8996391296387
86,128,0.00075,3.0,6.0,3,2,1e-07,0.9893451155009079,0.1726898789803187,0.9659760795887447,0.9963817749884166,0.9950226074264701,50,193.2854127883911
87,64,0.0005,3.0,6.0,3,2,1e-07,0.9893045182264837,0.17675664965311685,0.966698660513183,0.9954210197154547,0.9950983926772967,50,326.3020930290222
88,128,0.00075,2.0,6.0,3,2,1e-08,0.9892981800323536,0.11504337565104167,0.9668895300225206,0.9950527726674417,0.9952504174394518,50,193.29842376708984
89,64,0.00075,2.0,6.0,3,2,1e-07,0.989281075575096,0.11895557912190755,0.9654539582153572,0.9962057203100776,0.9954646237749496,50,326.4597272872925
90,128,0.00075,2.0,6.0,3,2,1e-07,0.9892767533210487,0.11691399594148,0.9662903878251387,0.9964073070883869,0.9944093183706691,50,193.33695697784424
91,128,0.0005,2.0,6.0,3,2,1e-07,0.9892693700850255,0.1201613808075587,0.9659750682667599,0.9957872897750105,0.9953151222983314,50,193.20075869560242
92,64,0.00075,3.0,8.0,3,3,1e-08,0.9892455851356483,0.18443595345815023,0.9658973062973873,0.9955359317293923,0.9955491025158135,46,299.2273516654968
93,128,0.00075,3.0,8.0,3,2,1e-08,0.9892083175852833,0.17915138975779216,0.9658803804259086,0.9957963815854661,0.9951565083297585,50,193.3784921169281
94,64,0.00075,3.0,6.0,3,3,1e-08,0.989084627900029,0.18678248532613118,0.9665103113869393,0.9952962611907783,0.9945319390223984,45,292.94545912742615
95,64,0.00075,3.0,8.0,3,2,1e-07,0.9890655697299171,0.1828990457057953,0.9660826386227302,0.995229450050075,0.9949501902468634,50,326.4201943874359
96,64,0.00075,3.0,8.0,3,3,1e-07,0.9889324789636842,0.18961366856098175,0.9656726346925134,0.9953762257838741,0.9946810553783494,46,300.06156730651855
97,128,0.0005,3.0,8.0,3,3,1e-08,0.9883780012741503,0.20519611060619355,0.9639750997530959,0.9953773522797653,0.9941595530637399,37,142.8130886554718
98,128,0.0005,3.0,6.0,3,3,1e-08,0.9881530493318729,0.20568780279159546,0.9628902568597466,0.9953171191810056,0.9944048212867396,37,142.84111213684082
99,64,0.0005,3.0,8.0,2,3,1e-07,0.9880849171613656,0.20808079028129578,0.9628218286741844,0.9950533837025985,0.9944644562686796,37,242.30799269676208
100,128,0.00075,2.0,8.0,3,3,1e-08,0.9880226843579459,0.14132351199785867,0.9628637372699479,0.9954980264002805,0.9937289737615552,37,142.86513257026672
101,64,0.0005,2.0,6.0,2,3,1e-07,0.9879935347558108,0.14342764314015707,0.9626732997451596,0.9949035250923953,0.994397314185688,37,245.15343475341797
102,128,0.00075,2.0,6.0,3,3,1e-07,0.987936815550439,0.13802403477827707,0.9621193946062312,0.9950248860287437,0.9946029815667812,37,142.8586266040802
103,64,0.0005,2.0,8.0,2,3,1e-07,0.9878123884793333,0.13481504650910694,0.962694419531762,0.9950417245308897,0.9935134098546813,37,243.1527180671692
104,128,0.00075,2.0,6.0,3,3,1e-08,0.9877658488012521,0.14016485925515493,0.963962613835753,0.9950164742011474,0.9920843071681081,37,142.8751413822174
105,128,0.0005,2.0,6.0,3,3,1e-08,0.9877306950712493,0.13769497009118398,0.9619130229824161,0.9950132565123677,0.9939965007902134,37,142.82209539413452
106,128,0.00075,3.0,8.0,3,3,1e-07,0.9877179749693955,0.2140318772792816,0.9626306309904243,0.9936130223448555,0.9946282465423023,37,142.8406126499176
107,64,0.0005,3.0,6.0,2,3,1e-08,0.9876459427951407,0.21850875091552735,0.9621910781879781,0.9945729420365712,0.9938197509560136,37,240.33630108833313
108,64,0.00075,2.0,6.0,2,3,1e-07,0.9876434472868532,0.14777875792980194,0.9620076092315547,0.9945831997905312,0.9939829801253266,37,241.4932930469513
109,64,0.0005,3.0,6.0,2,3,1e-07,0.9876101285585416,0.2060929751396179,0.9613502886727824,0.9948076287296727,0.9942825968317112,37,244.2366487979889
110,64,0.00075,3.0,8.0,2,3,1e-08,0.9875927301928815,0.21955879867076875,0.9631791071212772,0.9946789501226373,0.9925128635276117,37,241.6128966808319
111,128,0.0005,2.0,8.0,3,3,1e-07,0.9875710881449498,0.14085667304197946,0.9620389130350285,0.9945521606679086,0.9936932788768618,36,138.99781322479248
